seconds_elapsed,scan_latency_ms
0,41.838
2,47.514
4,49.227
7,50.302
9,47.553
11,47.179
13,47.155
15,48.314
17,48.020
19,48.498
21,51.159
23,47.670
25,47.333
27,47.979
29,49.603
31,49.625
33,50.124
35,50.471
37,49.282
40,50.677
42,50.689
44,51.192
46,52.168
48,51.945
50,52.068
52,54.168
54,52.745
56,55.783
58,52.125
60,54.819
62,57.596
64,54.638
66,57.084
69,61.414
71,63.377
73,66.794
75,69.283
77,71.318
79,72.487
81,87.914
83,79.913
85,83.227
87,83.555
89,86.118
92,88.544
94,89.707
96,87.622
98,91.845
100,89.733
102,88.453
104,93.571
106,95.941
108,97.386
111,100.384
113,105.924
115,101.540
117,109.382
119,106.627
121,112.505
123,105.283
125,109.546
128,121.294
130,117.332
132,117.319
134,116.908
136,117.388
138,121.071
140,119.365
143,125.934
145,129.180
147,122.083
149,122.786
151,132.295
153,128.229
155,125.050
158,129.306
160,132.852
162,130.108
164,134.097
166,135.073
168,142.766
170,136.836
173,136.657
175,142.224
177,139.245
179,146.250